Domain,IssueDate,ExpiryDate,SAN
*.cloudsbv.sunrise.ch,12/03/2025,13/04/2026,*.cloudsbv.sunrise.ch
*.cloudsbv.sunrise.ch,12/03/2025,13/04/2026,cloudsbv.sunrise.ch
*.intern.upc.ch,04/04/2025,06/05/2026,*.intern.upc.ch
*.intern.upc.ch,04/04/2025,06/05/2026,intern.upc.ch
*.ssia.sunrise.ch,15/01/2025,16/02/2026,*.ssia.sunrise.ch
*.ssia.sunrise.ch,15/01/2025,16/02/2026,ssia.sunrise.ch
447106.sdwan.upc.ch,18/11/2025,20/12/2026,447106.sdwan.upc.ch
460200.sdwan.upc.ch,18/06/2025,20/07/2026,460200.sdwan.upc.ch
460751.sdwan.upc.ch,23/04/2025,25/05/2026,460751.sdwan.upc.ch
490855.sdwan.upc.ch,01/04/2025,03/05/2026,490855.sdwan.upc.ch
513978.sdwan.upc.ch,04/09/2025,06/10/2026,513978.sdwan.upc.ch
517580.sdwan.upc.ch,16/12/2024,17/01/2026,517580.sdwan.upc.ch
521141.sdwan.upc.ch,18/11/2025,18/11/2025,
556588.sdwan.upc.ch,20/11/2024,22/12/2025,556588.sdwan.upc.ch
561659.sdwan.upc.ch,19/02/2025,23/03/2026,561659.sdwan.upc.ch
642247.sdwan.sunrise.ch,13/03/2025,14/04/2026,642247.sdwan.sunrise.ch
647098.sdwan.sunrise.ch,13/03/2025,14/04/2026,647098.sdwan.sunrise.ch
649686.sdwan.sunrise.ch,18/11/2025,18/11/2025,
acs-ssl2.sunrise.ch,25/04/2025,27/05/2026,acs-ssl2.sunrise.ch
acst-ssl2.sunrise.ch,25/04/2025,27/05/2026,acst-ssl2.sunrise.ch
addressmaster.intern.upc.ch,04/12/2024,05/01/2026,addressmaster.intern.upc.ch
addressmaster.intern.upc.ch,04/12/2024,05/01/2026,psrlocapp-fes01.intern.upc.ch
api.b2b.sunrise.ch,06/12/2024,07/01/2026,api.b2b.sunrise.ch
api.iot.sunrise.ch,09/05/2025,10/06/2026,api.iot.sunrise.ch
api.iot.sunrise.ch,09/05/2025,10/06/2026,docs.iot.sunrise.ch
api.iot-t01.sunrise.ch,09/04/2025,11/05/2026,api.iot-t01.sunrise.ch
api.iot-t01.sunrise.ch,09/04/2025,11/05/2026,docs.iot-t01.sunrise.ch
api.sunrise.ch,28/03/2025,29/04/2026,api.sunrise.ch
api01.sunrise.ch,19/01/2024,19/02/2025,api01.sunrise.ch
api03.sunrise.ch,27/08/2024,28/09/2025,api03.sunrise.ch
api2.sunrise.ch,24/12/2024,25/01/2026,api2.sunrise.ch
api-t01.sunrise.ch,06/11/2024,08/12/2025,api-t01.sunrise.ch
api-t01.sunrise.ch,06/11/2024,08/12/2025,api-t02.sunrise.ch
api-t01.sunrise.ch,06/11/2024,08/12/2025,api-t03.sunrise.ch
ariba.sunrise.net,07/05/2025,08/06/2026,ariba.sunrise.net
auth.sunrise.ch,15/10/2024,16/11/2025,auth.sunrise.ch
auth-test.sunrise.ch,14/10/2024,15/11/2025,auth-test.sunrise.ch
autodiscover.sunrise.ch,17/10/2024,18/11/2025,autodiscover.sunrise.ch
b2bloadbalancer.intern.upc.ch,18/11/2025,18/11/2025,
b2bloadbalanceruat.intern.upc.ch,04/07/2025,22/07/2026,b2bloadbalanceruat.intern.upc.ch
b2bsiptrh.upc.ch,18/11/2025,18/11/2025,
b2bxfap.intern.upc.ch,11/12/2024,12/01/2026,b2bxfap.intern.upc.ch
b2bxfap.intern.upc.ch,11/12/2024,12/01/2026,psrb2bxfap01.intern.upc.ch
b2bxfap.intern.upc.ch,11/12/2024,12/01/2026,psrb2bxfap02.intern.upc.ch
b2bxfap.intern.upc.ch,11/12/2024,12/01/2026,psrb2bxfap03.intern.upc.ch
b2bxfap.intern.upc.ch,11/12/2024,12/01/2026,b2bxcarrier.intern.upc.ch
b2bxsm.intern.upc.ch,27/05/2025,28/06/2026,b2bxsm.intern.upc.ch
b2bxsm.intern.upc.ch,27/05/2025,28/06/2026,psrb2bxsm01.intern.upc.ch
b2bxsm.intern.upc.ch,27/05/2025,28/06/2026,tsrb2bxsm01.intern.upc.ch
bcm.upc.ch,18/11/2025,18/11/2025,
bovis02.intern.upc.ch,26/08/2025,28/07/2026,bovis02.intern.upc.ch
bpa.sunrise.net,15/07/2024,16/08/2025,bpa.sunrise.net
brand.sunrise.net,18/11/2025,18/11/2025,
business-support.sunrise.net,06/12/2024,07/01/2026,business-support.sunrise.net
business-support-test.sunrise.net,18/11/2025,18/11/2025,
campaign.sunrise.ch,23/01/2025,24/02/2026,campaign.sunrise.ch
campaign.sunrise.ch,23/01/2025,24/02/2026,emarketing.sunrise.ch
campaign.sunrise.ch,23/01/2025,24/02/2026,survey.sunrise.ch
careers.sunrise.ch,23/05/2025,24/06/2026,careers.sunrise.ch
cbftp.upc.ch,14/07/2025,15/08/2026,cbftp.upc.ch
cbftp.upc.ch,14/07/2025,15/08/2026,psrb2bsftp02.intern.upc.ch
cbftp.upc.ch,14/07/2025,15/08/2026,cbftp.sunrise.ch
cct.sunrise.ch,21/03/2024,22/04/2025,cct.sunrise.ch
cfa-api.sunrise.net,27/03/2024,28/04/2025,cfa-api.sunrise.net
client-vpn.sunrise.net,11/09/2024,13/10/2025,client-vpn.sunrise.net
client-vpn.sunrise.net,11/09/2024,13/10/2025,www.client-vpn.sunrise.net
cnlab-service.upc.ch,25/03/2025,26/04/2026,cnlab-service.upc.ch
cockpit.sunrise.ch,10/11/2025,12/12/2026,cockpit.sunrise.ch
community.sunrise.ch,28/04/2025,30/05/2026,community.sunrise.ch
confluence.upc.ch,25/11/2024,27/12/2025,confluence.upc.ch
csr.sunrise.ch,29/10/2024,30/11/2025,csr.sunrise.ch
csr.sunrise.ch,29/10/2024,30/11/2025,csr-en.sunrise.ch
csr.sunrise.ch,29/10/2024,30/11/2025,csr-fr.sunrise.ch
csr.sunrise.ch,29/10/2024,30/11/2025,csr-it.sunrise.ch
ctsp.upc.ch,19/03/2024,20/04/2025,ctsp.upc.ch
ctsp-services-test.intern.upc.ch,01/04/2025,03/05/2026,ctsp-services-test.intern.upc.ch
customer-service.intern.upc.ch,03/10/2025,04/11/2026,customer-service.intern.upc.ch
customer-service.intern.upc.ch,03/10/2025,04/11/2026,psrb2blocapp01.intern.upc.ch
d-ariba.sunrise.net,03/10/2025,04/11/2026,d-ariba.sunrise.net
d-glarotech.sunrise.net,03/10/2025,04/11/2026,d-glarotech.sunrise.net
digitalsignage.upc.ch,25/11/2024,27/12/2025,digitalsignage.upc.ch
doh.bbeng.sunrise.net,27/01/2025,28/02/2026,doh.bbeng.sunrise.net
dplugtool.intern.upc.ch,18/11/2025,18/11/2025,
dsrb2be2ech01.intern.upc.ch,09/06/2025,11/07/2026,dsrb2be2ech01.intern.upc.ch
e-deliverymobile.sunrise.ch,18/07/2024,09/08/2025,e-deliverymobile.sunrise.ch
ems.sunrise.net,18/11/2025,18/11/2025,
extopus.intern.upc.ch,27/05/2025,28/06/2026,extopus.intern.upc.ch
extopustest.intern.upc.ch,27/05/2025,28/06/2026,extopustest.intern.upc.ch
extranet.sunrise.net,07/05/2024,08/06/2025,extranet.sunrise.net
extranet.sunrise.net,07/05/2024,08/06/2025,pag-extranet.sunrise.net
federation.sunrise.net,06/12/2024,07/01/2026,federation.sunrise.net
federation.sunrise.net,06/12/2024,07/01/2026,enterpriseregistration.sunrise.net
hibox-t.sunrise.net,06/05/2025,07/06/2026,hibox-t.sunrise.net
hsi.upc.ch,29/11/2024,31/12/2025,hsi.upc.ch
hsi.upc.ch,29/11/2024,31/12/2025,ipv4-hsi.upc.ch
hsi.upc.ch,29/11/2024,31/12/2025,ipv6-hsi.upc.ch
huma.intern.upc.ch,08/04/2025,10/05/2026,huma.intern.upc.ch
iag-vdi.sunrise.net,22/05/2024,23/06/2025,iag-vdi.sunrise.net
iag-vdi.sunrise.net,22/05/2024,23/06/2025,iag1-vdi.sunrise.net
iag-vdi.sunrise.net,22/05/2024,23/06/2025,iag2-vdi.sunrise.net
idc.chmobile.ch,11/08/2025,12/09/2026,idc.chmobile.ch
idc.lebara.ch,18/11/2025,18/11/2025,
immo.intern.upc.ch,20/06/2025,22/07/2026,immo.intern.upc.ch
immo.intern.upc.ch,20/06/2025,22/07/2026,immo.upc.ch
immo.upc.ch,26/12/2024,27/01/2026,immo.upc.ch
infraregistry.sunrise.net,08/04/2025,10/05/2026,infraregistry.sunrise.net
innoengine.sunrise.ch,15/12/2023,15/01/2025,innoengine.sunrise.ch
insider.sunrise.ch,13/05/2024,14/06/2025,internet.sunrise.ch
insider.sunrise.ch,13/05/2024,14/06/2025,insider.sunrise.ch
interface.sunrise.ch,18/11/2025,18/11/2025,
interfaceca.sunrise.ch,29/08/2025,30/09/2026,interfaceca.sunrise.ch
interfaceca-test.sunrise.ch,22/11/2024,24/12/2025,interfaceca-test.sunrise.ch
interface-test.sunrise.ch,04/07/2024,05/08/2025,interface-test.sunrise.ch
internet.sunrise.ch,13/05/2024,14/06/2025,internet.sunrise.ch
internet.sunrise.ch,13/05/2024,14/06/2025,insider.sunrise.ch
iot-t01.sunrise.ch,18/11/2024,20/12/2025,iot-t01.sunrise.ch
jahia.sunrise.net,21/05/2024,22/06/2025,jahia.sunrise.net
jira.upc.ch,25/11/2024,27/12/2025,jira.upc.ch
jit-immo.intern.upc.ch,20/06/2025,22/07/2026,jit-immo.intern.upc.ch
jit-immo.upc.ch,23/06/2025,25/07/2026,jit-immo.upc.ch
leitungskataster.upc.ch,07/04/2025,09/05/2026,leitungskataster.upc.ch
login.intern.upc.ch,25/11/2024,27/12/2025,login.intern.upc.ch
login.upc.ch,18/11/2025,18/11/2025,
marketplace.sunrise.ch,18/11/2025,18/11/2025,
mip.sunrise.ch,25/10/2024,26/11/2025,mip.sunrise.ch
mip.sunrise.ch,25/10/2024,26/11/2025,www.mip.sunrise.ch
mlog.sunrise.ch,03/12/2024,04/01/2026,mlog.upc.ch
mlog.sunrise.ch,03/12/2024,04/01/2026,mlog.sunrise.ch
mlog.upc.ch,03/12/2024,04/01/2026,mlog.upc.ch
mlog.upc.ch,03/12/2024,04/01/2026,mlog.sunrise.ch
mlog-dev.intern.upc.ch,25/03/2025,26/04/2026,mlog-dev.intern.upc.ch
mlog-t01.sunrise.net,06/08/2024,07/09/2025,mlog-t01.sunrise.net
mlog-t01.sunrise.net,06/08/2024,07/09/2025,mlog-t02.sunrise.net
mlog-t01.sunrise.net,06/08/2024,07/09/2025,mlog-t03.sunrise.net
mlog-test.intern.upc.ch,28/03/2025,29/04/2026,mlog-test.intern.upc.ch
mlog-test.sunrise.ch,04/10/2024,05/11/2025,mlog-test.sunrise.ch
mobile-vpn.sunrise.net,27/05/2025,28/06/2026,mobile-vpn.sunrise.net
msm.sunrise.ch,23/08/2024,24/09/2025,msm.sunrise.ch
msm.sunrise.ch,23/08/2024,24/09/2025,www.msm.sunrise.ch
msm-t01.sunrise.ch,06/10/2025,07/11/2026,msm-t01.sunrise.ch
mx10.sunrise.net,24/10/2025,25/11/2026,mx10.sunrise.net
mx10.sunrise.net,24/10/2025,25/11/2026,mx20.sunrise.net
mx10.sunrise.net,24/10/2025,25/11/2026,mx30.sunrise.net
mx10.sunrise.net,24/10/2025,25/11/2026,mx40.sunrise.net
mybusiness.sunrise.ch,06/12/2024,07/01/2026,mybusiness.sunrise.ch
mybusiness.upc.ch,07/08/2024,08/09/2025,mybusiness.upc.ch
mybusinessjit.sunrise.ch,06/12/2024,07/01/2026,mybusinessjit.sunrise.ch
mybusinessjit.upc.ch,06/12/2024,07/01/2026,mybusinessjit.upc.ch
mybusinessuat.sunrise.ch,06/12/2024,07/01/2026,mybusinessuat.sunrise.ch
mybusinessuat.upc.ch,06/12/2024,07/01/2026,mybusinessuat.upc.ch
myupcext.upc.ch,16/05/2024,17/06/2025,myupcext.upc.ch
nca.sunrise.net,05/11/2025,07/12/2026,nca.sunrise.net
nca-t01.sunrise.net,04/11/2025,06/12/2026,nca-t01.sunrise.net
netcracker.intern.upc.ch,16/06/2025,18/07/2026,netcracker.intern.upc.ch
netcracker-jb2b.intern.upc.ch,11/04/2025,13/05/2026,netcracker-jb2b.intern.upc.ch
netcracker-jb2c.intern.upc.ch,11/04/2025,13/05/2026,netcracker-jb2c.intern.upc.ch
netcracker-ts.intern.upc.ch,11/04/2025,13/05/2026,netcracker-ts.intern.upc.ch
netcracker-uat.intern.upc.ch,16/06/2025,18/07/2026,netcracker-uat.intern.upc.ch
newbuildtool.upc.ch,29/02/2024,01/04/2025,newbuildtool.upc.ch
nexus.sunrise.ch,17/11/2025,19/12/2026,nexus.sunrise.ch
nms.intern.upc.ch,22/09/2025,24/10/2026,nms.intern.upc.ch
NONPROD-nlb.com-api-gtw.sunrise.net,18/02/2025,22/03/2026,NONPROD-nlb.com-api-gtw.sunrise.net
offertool.sunrise.ch,27/02/2025,31/03/2026,offertool.sunrise.ch
officewifi.sunrise.net,14/03/2025,15/04/2026,officewifi.sunrise.net
oidp.sunrise.ch,21/03/2024,22/04/2025,oidp.sunrise.ch
olympus.sunrise.ch,17/09/2024,19/10/2025,olympus.sunrise.ch
one.sunrise.net,31/10/2025,29/01/2026,demo.one.sunrise.net
online-shop.aldi-mobile.ch,15/07/2025,14/07/2026,online-shop.aldi-mobile.ch
online-shop.aldi-mobile.ch,15/07/2025,14/07/2026,pos.aldi-mobile.ch
openid-provider.sunrise.ch,16/12/2024,17/01/2026,openid-provider.sunrise.ch
openid-provider.sunrise.ch,16/12/2024,17/01/2026,www.openid-provider.sunrise.ch
orbit.sunrise.ch,18/03/2025,19/04/2026,orbit.sunrise.ch
order.upc.ch,20/05/2025,21/06/2026,order.upc.ch
order-qa-ng.intern.upc.ch,20/05/2025,21/06/2026,order-qa-ng.intern.upc.ch
